year,month,hour,incident,min_delay,line,season
2023,01,15,Security,10,501,Winter
2023,01,16,Emergency Services,10,501,Winter
2023,01,16,Collision - TTC Involved,8,501,Winter
2023,01,16,Cleaning - Unsanitary,10,510,Winter
2023,01,17,Diversion,13,510,Winter
2023,01,20,Emergency Services,10,501,Winter
2023,01,20,General Delay,14,512,Winter
2023,01,22,Emergency Services,18,501,Winter
2023,01,22,Held By,15,501,Winter
2023,01,07,Security,9,506,Winter
2023,01,07,Mechanical,7,501,Winter
2023,01,12,Collision - TTC Involved,7,501,Winter
2023,01,12,Security,11,501,Winter
2023,01,14,Emergency Services,4,504,Winter
2023,01,14,Emergency Services,9,510,Winter
2023,01,15,Security,15,501,Winter
2023,01,15,Emergency Services,9,503,Winter
2023,01,16,Cleaning - Unsanitary,8,505,Winter
2023,01,16,General Delay,17,512,Winter
2023,01,16,General Delay,10,512,Winter
2023,01,17,Mechanical,5,504,Winter
2023,01,17,Mechanical,10,503,Winter
2023,01,17,Mechanical,5,504,Winter
2023,01,17,General Delay,20,501,Winter
2023,01,18,Held By,16,504,Winter
2023,01,18,Security,32,510,Winter
2023,01,19,Diversion,80,504,Winter
2023,01,19,Security,23,511,Winter
2023,01,21,General Delay,7,504,Winter
2023,01,21,General Delay,18,501,Winter
2023,01,21,Operations,10,506,Winter
2023,01,21,Diversion,25,501,Winter
2023,01,21,Diversion,25,501,Winter
2023,01,21,Emergency Services,13,501,Winter
2023,01,22,Emergency Services,10,511,Winter
2023,01,22,Diversion,24,505,Winter
2023,01,22,Held By,17,506,Winter
2023,01,22,Operations,10,504,Winter
2023,01,23,Emergency Services,10,501,Winter
2023,01,01,Emergency Services,10,504,Winter
2023,01,01,Operations,20,501,Winter
2023,01,02,Cleaning - Unsanitary,6,504,Winter
2023,01,04,Security,15,301,Winter
2023,01,06,Mechanical,31,503,Winter
2023,01,06,Operations,9,505,Winter
2023,01,07,Collision - TTC Involved,32,504,Winter
2023,01,07,Mechanical,5,501,Winter
2023,01,07,Held By,9,511,Winter
2023,01,07,Held By,9,511,Winter
2023,01,07,Emergency Services,6,501,Winter
2023,01,08,Operations,9,505,Winter
2023,01,09,Operations,6,501,Winter
2023,01,10,Operations,6,512,Winter
2023,01,11,Security,45,510,Winter
2023,01,13,General Delay,9,501,Winter
2023,01,16,General Delay,15,504,Winter
2023,01,16,Security,10,510,Winter
2023,01,16,Collision - TTC Involved,70,510,Winter
2023,01,16,General Delay,26,506,Winter
2023,01,16,Utilized Off Route,5,504,Winter
2023,01,17,Utilized Off Route,5,504,Winter
2023,01,17,General Delay,15,512,Winter
2023,01,18,Held By,63,505,Winter
2023,01,19,Security,4,501,Winter
2023,01,21,General Delay,8,504,Winter
2023,01,00,Cleaning - Unsanitary,10,511,Winter
2023,01,00,Cleaning - Unsanitary,9,510,Winter
2023,01,01,Utilized Off Route,10,504,Winter
2023,01,02,Mechanical,10,304,Winter
2023,01,03,Operations,15,304,Winter
2023,01,04,Diversion,9,306,Winter
2023,01,07,Held By,7,509,Winter
2023,01,09,Security,9,505,Winter
2023,01,10,Held By,15,504,Winter
2023,01,11,Operations,10,501,Winter
2023,01,11,Security,9,505,Winter
2023,01,11,Operations,10,501,Winter
2023,01,14,Collision - TTC Involved,44,501,Winter
2023,01,16,Mechanical,8,501,Winter
2023,01,16,Mechanical,6,501,Winter
2023,01,16,Emergency Services,8,505,Winter
2023,01,17,Emergency Services,23,506,Winter
2023,01,18,Mechanical,7,511,Winter
2023,01,19,Operations,6,501,Winter
2023,01,21,General Delay,13,504,Winter
2023,01,21,Security,8,504,Winter
2023,01,22,Emergency Services,10,504,Winter
2023,01,23,Collision - TTC Involved,70,504,Winter
2023,01,23,Cleaning - Unsanitary,10,504,Winter
2023,01,23,General Delay,8,505,Winter
2023,01,23,Diversion,27,505,Winter
2023,01,00,Mechanical,9,510,Winter
2023,01,02,Cleaning - Unsanitary,20,301,Winter
2023,01,06,Collision - TTC Involved,39,511,Winter
2023,01,06,Held By,9,509,Winter
2023,01,08,Overhead,68,511,Winter
2023,01,08,Held By,53,509,Winter
2023,01,09,Emergency Services,26,510,Winter
2023,01,11,Emergency Services,8,501,Winter
2023,01,12,Operations,6,501,Winter
2023,01,12,Cleaning - Unsanitary,8,501,Winter
2023,01,13,General Delay,24,509,Winter
2023,01,14,Diversion,76,504,Winter
2023,01,14,Cleaning - Unsanitary,9,506,Winter
2023,01,17,Operations,6,501,Winter
2023,01,17,Security,9,510,Winter
2023,01,17,General Delay,27,512,Winter
2023,01,17,General Delay,14,512,Winter
2023,01,17,Mechanical,5,504,Winter
2023,01,18,General Delay,17,512,Winter
2023,01,19,Operations,4,504,Winter
2023,01,20,Diversion,30,501,Winter
2023,01,20,General Delay,13,504,Winter
2023,01,20,Collision - TTC Involved,8,505,Winter
2023,01,20,Operations,8,504,Winter
2023,01,20,General Delay,13,512,Winter
2023,01,20,Cleaning - Unsanitary,8,505,Winter
2023,01,21,Emergency Services,8,501,Winter
2023,01,21,General Delay,13,504,Winter
2023,01,21,Emergency Services,8,504,Winter
2023,01,21,Cleaning - Unsanitary,8,505,Winter
2023,01,22,Security,14,505,Winter
2023,01,23,General Delay,17,510,Winter
2023,01,23,Held By,10,504,Winter
2023,01,23,Held By,12,509,Winter
2023,01,00,Cleaning - Unsanitary,10,504,Winter
2023,01,00,Operations,10,504,Winter
2023,01,01,Cleaning - Unsanitary,10,504,Winter
2023,01,02,Utilized Off Route,10,304,Winter
2023,01,02,Operations,14,504,Winter
2023,01,03,Emergency Services,30,306,Winter
2023,01,03,Diversion,86,306,Winter
2023,01,07,General Delay,20,501,Winter
2023,01,07,Cleaning - Unsanitary,10,504,Winter
2023,01,09,Operations,8,511,Winter
2023,01,11,Operations,6,501,Winter
2023,01,12,General Delay,10,505,Winter
2023,01,13,Emergency Services,6,501,Winter
2023,01,13,Diversion,66,511,Winter
2023,01,14,Rail/Switches,10,504,Winter
2023,01,14,Mechanical,6,501,Winter
2023,01,15,Security,20,501,Winter
2023,01,16,Mechanical,10,504,Winter
2023,01,18,Late Entering Service,9,509,Winter
2023,01,20,Mechanical,9,512,Winter
2023,01,20,Security,30,505,Winter
2023,01,21,Collision - TTC Involved,38,505,Winter
2023,01,21,Diversion,11,509,Winter
2023,01,21,Diversion,9,510,Winter
2023,01,22,Mechanical,10,504,Winter
2023,01,00,Diversion,39,306,Winter
2023,01,00,Security,10,511,Winter
2023,01,01,Cleaning - Unsanitary,10,512,Winter
2023,01,07,Collision - TTC Involved,10,504,Winter
2023,01,08,Held By,10,511,Winter
2023,01,08,Mechanical,1,504,Winter
2023,01,08,Diversion,5,512,Winter
2023,01,08,Cleaning - Unsanitary,10,505,Winter
2023,01,08,Utilized Off Route,10,501,Winter
2023,01,08,Held By,10,506,Winter
2023,01,09,Security,10,505,Winter
2023,01,12,Held By,9,506,Winter
2023,01,13,Held By,20,501,Winter
2023,01,13,Held By,7,506,Winter
2023,01,13,Cleaning - Unsanitary,10,505,Winter
2023,01,14,General Delay,52,505,Winter
2023,01,15,General Delay,9,505,Winter
2023,01,16,Mechanical,8,501,Winter
2023,01,16,Operations,9,510,Winter
2023,01,16,Mechanical,9,501,Winter
2023,01,16,Operations,7,501,Winter
2023,01,18,General Delay,9,509,Winter
2023,01,18,General Delay,9,505,Winter
2023,01,18,Operations,9,512,Winter
2023,01,18,General Delay,9,509,Winter
2023,01,18,General Delay,9,509,Winter
2023,01,19,Operations,9,510,Winter
2023,01,19,General Delay,9,512,Winter
2023,01,19,General Delay,7,511,Winter
2023,01,20,Security,26,506,Winter
2023,01,20,Operations,11,512,Winter
2023,01,20,Cleaning - Unsanitary,5,504,Winter
2023,01,23,Mechanical,10,600,Winter
2023,01,02,Held By,120,510,Winter
2023,01,03,Operations,30,504,Winter
2023,01,04,Operations,20,501,Winter
2023,01,07,Held By,20,501,Winter
2023,01,07,Cleaning - Unsanitary,9,505,Winter
2023,01,09,Operations,9,511,Winter
2023,01,10,Collision - TTC Involved,4,504,Winter
2023,01,10,Operations,6,501,Winter
2023,01,11,Mechanical,10,509,Winter
2023,01,12,Emergency Services,10,503,Winter
2023,01,12,Diversion,9,506,Winter
2023,01,12,Held By,9,506,Winter
2023,01,13,Held By,9,511,Winter
2023,01,14,Cleaning - Unsanitary,9,506,Winter
2023,01,14,Emergency Services,8,501,Winter
2023,01,15,General Delay,16,512,Winter
2023,01,16,General Delay,12,512,Winter
2023,01,17,Operations,8,505,Winter
2023,01,17,Mechanical,5,510,Winter
2023,01,18,General Delay,13,512,Winter
2023,01,18,Security,8,501,Winter
2023,01,19,Emergency Services,16,512,Winter
2023,01,19,Mechanical,10,512,Winter
2023,01,19,Emergency Services,8,501,Winter
2023,01,21,Operations,8,501,Winter
2023,01,21,Held By,13,506,Winter
2023,01,00,Mechanical,9,510,Winter
2023,01,00,Investigation,5,504,Winter
2023,01,02,Cleaning - Unsanitary,20,301,Winter
2023,01,05,General Delay,45,504,Winter
2023,01,05,Emergency Services,1,510,Winter
2023,01,06,Security,25,501,Winter
2023,01,07,Operations,6,501,Winter
2023,01,09,General Delay,70,505,Winter
